id, Volcano, Sunrise Sunset, ISS Structure, Stars, Night, Aurora, Movie, Day, Moon, Inside ISS, Dock Undock, Cupola
iss052e053681.jpg,0,0,0,0,0,0,0,0,0,0,1,0,
iss052e043643.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e040716.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss038e057082.jpg,0,0,0,0,0,1,0,0,0,0,0,0,
iss038e063790.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e035830.jpg,0,0,0,0,0,0,0,0,1,0,0,0,
iss039e020241.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e035395.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss038e067529.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e043767.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e073714.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss038e016578.jpg,0,0,0,0,1,0,0,0,0,0,0,0,
iss038e062772.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss036e049938.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e037151.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e037075.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e035241.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss038e014976.jpg,0,0,0,0,0,1,0,0,0,0,0,0,
iss053e003101.jpg,0,0,0,0,0,0,1,1,0,0,0,0,
iss052e039838.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e031971.jpg,0,0,0,0,1,0,0,0,0,0,0,0,
iss052e035697.jpg,0,0,0,0,0,0,0,0,1,0,0,0,
iss052e035648.jpg,0,0,0,0,0,0,0,0,1,0,0,0,
iss052e043693.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e072244.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e027233.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e025023.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss034e029009.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
iss052e035903.jpg,0,0,0,0,0,0,0,0,1,0,0,0,
iss052e035579.jpg,0,0,0,0,0,0,0,0,1,0,0,0,
iss052e035659.jpg,0,0,0,0,0,0,0,0,1,0,0,0,
iss052e056048.jpg,0,0,0,0,0,0,0,1,0,0,0,0,
